Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","1993","1993","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","1994","1994","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","1995","1995","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","1996","1996","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","1997","1997","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","1998","1998","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","1999","1999","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","2001","2001","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","2002","2002","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","2003","2003","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","2004","2004","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","2005","2005","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","2006","2006","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","2007","2007","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","2008","2008","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","2009","2009","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","2010","2010","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","211","Switzerland","5141","Food supply quantity (tonnes)","2769","Aquatic Animals, Others","2011","2011","tonnes","0","S","Standardized data"
